Device type:  cuda
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_neg_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  d81f0b50-a5cb-4c69-a679-ac10eb5ca84b
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  d81f0b50-a5cb-4c69-a679-ac10eb5ca84b  in  828.4474296569824 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_neg_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  93a12a46-a5a5-4657-b3f4-20626f377c44
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  93a12a46-a5a5-4657-b3f4-20626f377c44  in  654.9666128158569 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_neg_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  54a3f07d-8c65-4a9e-a215-6f23659731bd
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  54a3f07d-8c65-4a9e-a215-6f23659731bd  in  841.0223288536072 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_neg_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  e24881d9-515b-494d-8b01-57ad9c18d16e
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  e24881d9-515b-494d-8b01-57ad9c18d16e  in  912.4804899692535 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_neg_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  87fd7252-420a-4717-8cd7-1409ad5a851d
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  87fd7252-420a-4717-8cd7-1409ad5a851d  in  833.7667264938354 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_neg_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  2777f43c-7376-46a5-8bb5-7b5026076c58
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  2777f43c-7376-46a5-8bb5-7b5026076c58  in  784.715829372406 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_neg_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  77d2285a-4118-4f40-bf2d-b7f853f59072
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  77d2285a-4118-4f40-bf2d-b7f853f59072  in  784.6408786773682 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_neg_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Finished all analysis in  12767.627659797668 s.
Device type:  cuda
Predicting on region:  chrVI:114000-116000
Start parsing bam file to get reads aligned to the region......
done with bam file.
Start parsing eventalign file to map signals to the list......
10.0  M lines have passed.
20.0  M lines have passed.
30.0  M lines have passed.
40.0  M lines have passed.
50.0  M lines have passed.
60.0  M lines have passed.
70.0  M lines have passed.
80.0  M lines have passed.
90.0  M lines have passed.
100.0  M lines have passed.
110.0  M lines have passed.
120.0  M lines have passed.
130.0  M lines have passed.
7  reads left in readname list
6  reads left in readname list
5  reads left in readname list
4  reads left in readname list
3  reads left in readname list
2  reads left in readname list
140.0  M lines have passed.
150.0  M lines have passed.
160.0  M lines have passed.
170.0  M lines have passed.
180.0  M lines have passed.
190.0  M lines have passed.
200.0  M lines have passed.
210.0  M lines have passed.
220.0  M lines have passed.
230.0  M lines have passed.
240.0  M lines have passed.
250.0  M lines have passed.
260.0  M lines have passed.
270.0  M lines have passed.
280.0  M lines have passed.
290.0  M lines have passed.
300.0  M lines have passed.
310.0  M lines have passed.
320.0  M lines have passed.
330.0  M lines have passed.
340.0  M lines have passed.
350.0  M lines have passed.
360.0  M lines have passed.
370.0  M lines have passed.
380.0  M lines have passed.
390.0  M lines have passed.
400.0  M lines have passed.
410.0  M lines have passed.
done with reading eventalign file.
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_pos_meanScore_medianPos_chrVI:114000-116000siganlAlign.tsv
Start parsing sigalign file......
Start processing  7136eeb3-f9b7-4a96-8e4d-3947d69012c4
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  7136eeb3-f9b7-4a96-8e4d-3947d69012c4  in  918.3556835651398 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_pos_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  5c3983d0-ae80-4c7a-b64d-6b8aa555835e
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  5c3983d0-ae80-4c7a-b64d-6b8aa555835e  in  1051.9981207847595 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_pos_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  f49147a9-b632-4ccc-8fb2-f2f3dbebe8eb
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  f49147a9-b632-4ccc-8fb2-f2f3dbebe8eb  in  939.7964396476746 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_pos_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  471e6c13-1582-478f-9eef-233d7f352665
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  471e6c13-1582-478f-9eef-233d7f352665  in  1015.5948972702026 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_pos_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  424ac883-1dca-47fc-83b2-5baca6da693c
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  424ac883-1dca-47fc-83b2-5baca6da693c  in  933.9817469120026 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_pos_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Start processing  d71840e0-de98-42c9-85e7-b4fab13871e3
Predicting at position: 0
Predicting at position: 500
Predicting at position: 1000
Predicting at position: 1500
Processed read  d71840e0-de98-42c9-85e7-b4fab13871e3  in  921.5751466751099 s
Output signalAlign file saved in:
 /private/groups/brookslab/gabai/projects/Add-seq/data/ctrl/modPredict/231024_AUA1_pos_meanScore_medianPos_chrVI:114000-116000modScores.tsv
Finished all analysis in  7828.4912049770355 s.
